ni	xi
686	10
386	6
600	11
457	4
647	5
535	6
614	10
492	20
700	10
570	7
263	2
631	7
314	11
569	4
163	0
520	8
294	2
552	12
280	5
375	6
451	10
602	6
588	10
648	8
680	5
550	8
589	12
619	17
499	6
530	7
409	7
549	10
633	23
245	3
556	11
477	14
295	4
569	4
604	8
640	11
428	4
166	3
462	9
337	4
280	11
576	7
526	6
119	4
750	11
543	7
618	5
625	2
403	1
291	7
588	9
485	6
473	6
507	6
630	5
307	5
346	7
472	9
403	4
537	4
333	1
494	2
567	7
242	3
374	8
268	0
299	3
431	5
423	3
410	5
588	9
219	4
240	1
555	6
621	8
678	4
141	0
580	4
640	8
750	6
390	9
295	4
225	2
721	9
589	6
592	8
599	10
538	4
479	5
602	10
679	6
459	7
318	6
580	10
446	5
749	15
533	10
575	7
703	8
580	8
571	11
679	9
170	5
375	5
548	9
135	0
377	12
592	1
118	2
381	4
639	2
626	18
584	4
272	4
580	4
550	9
588	7
607	7
669	8
311	5
619	9
463	7
643	12
413	12
298	8
632	7
560	10
314	9
464	11
575	11
295	6
658	14
603	13
748	7
549	9
656	1
618	8
583	9
237	4
306	3
459	9
526	0
510	8
603	7
259	9
275	1
674	4
423	30
468	9
614	6
310	5
439	4
615	4
605	10
409	8
523	5
612	5
601	3
561	13
539	6
287	8
605	12
484	10
147	1
403	4
556	10
597	15
637	10
301	6
187	0
432	4
334	3
613	8
624	12
533	14
602	9
219	1
749	9
564	7
637	8
593	5
353	8
607	10
633	9
639	10
594	7
730	7
306	4
364	5
619	13
439	4
491	4
750	10
604	4
514	11
657	17
382	10
279	1
643	5
526	5
155	0
483	9
372	4
114	0
548	5
553	16
581	14
106	3
201	4
671	16
281	3
623	5
505	5
249	5
326	9
612	10
456	11
580	16
299	2
565	7
147	3
351	1
614	6
614	6
581	14
638	7
634	10
373	2
223	3
529	4
151	3
552	4
735	16
533	12
653	9
651	8
456	6
490	4
331	4
614	8
207	0
414	4
630	7
294	0
480	1
676	11
169	6
573	23
513	5
457	7
568	12
667	15
583	8
214	1
622	4
603	9
363	1
540	12
498	6
442	6
295	3
495	7
293	4
467	7
595	12
571	9
427	4
479	9
274	1
451	5
562	5
265	6
274	4
645	6
247	4
461	4
477	4
314	3
424	6
514	10
640	13
581	14
295	4
407	4
371	3
611	9
417	7
660	5
484	7
460	3
381	9
651	9
750	8
615	10
442	6
587	10
234	5
598	2
558	1
587	5
543	5
598	2
97	0
674	2
651	4
168	1
349	5
521	8
439	4
641	12
636	10
358	8
646	10
581	9
622	9
647	4
611	6
570	9
117	1
343	3
253	2
290	2
547	6
663	8
445	4
656	4
404	4
639	16
459	3
244	1
211	1
644	7
583	7
671	8
613	5
601	7
579	10
366	9
573	5
695	11
536	5
598	9
471	4
451	1
580	8
149	2
619	14
627	5
148	3
256	2
599	11
502	4
500	1
631	6
628	0
649	5
642	3
629	10
651	4
513	6
594	3
618	5
716	18
636	7
521	8
736	8
665	11
669	3
453	8
610	3
306	2
717	8
609	9
548	15
643	8
671	11
635	9
750	7
391	1
318	5
602	1
747	4
705	11
549	4
593	5
691	8
575	3
574	7
504	0
685	3
663	7
566	4
658	7
599	7
621	5
414	5
127	2
493	1
574	6
750	9
342	7
686	13
499	11
142	4
591	5
561	1
517	4
104	0
324	1
617	5
609	5
430	5
571	2
659	10
504	8
372	6
612	10
615	7
498	10
624	12
562	2
644	11
341	3
314	7
497	4
188	3
206	4
670	6
698	5
591	13
198	0
247	3
229	2
610	14
269	4
603	11
388	4
258	2
499	5
512	9
662	5
521	1
187	0
596	9
578	4
180	0
677	9
385	10
466	5
550	6
676	8
452	2
597	5
642	3
524	8
455	4
247	1
595	4
632	5
123	2
354	3
467	0
534	4
603	3
257	2
356	6
583	3
600	3
624	2
649	9
612	6
560	11
328	3
647	4
431	8
218	2
619	8
639	11
385	5
578	7
429	8
134	0
143	3
650	7
508	4
557	4
307	4
516	7
168	3
662	16
626	7
227	4
476	1
461	6
401	3
195	2
746	11
579	5
592	2
635	6
467	3
525	13
633	3
560	4
618	4
327	4
657	7
579	6
284	3
658	2
529	7
401	17
442	3
120	0
405	4
604	6
626	7
635	4
641	5
588	8
340	3
606	3
623	11
308	2
126	1
649	6
640	15
482	12
182	2
592	6
543	13
444	2
614	4
557	9
450	11
528	8
552	6
472	10
636	8
460	4
665	5
433	6
626	10
577	6
645	6
618	8
578	4
120	4
496	4
440	6
618	6
632	2
208	1
544	7
647	4
363	1
592	7
610	3
645	3
324	2
590	7
448	4
658	5
510	1
617	8
615	7
685	13
513	11
581	8
396	4
630	12
649	12
662	11
649	8
535	4
263	2
641	4
639	7
269	5
600	5
383	4
484	4
330	3
299	3
355	6
403	7
491	14
447	7
608	3
678	5
305	5
656	8
638	5
482	7
499	9
544	5
625	6
539	5
692	6
642	9
489	6
606	11
284	3
356	4
437	7
750	11
630	5
510	6
599	5
642	4
441	11
244	2
485	6
674	6
710	12
557	8
483	4
333	3
613	5
274	4
750	6
647	7
342	4
383	5
221	7
209	0
593	13
528	10
619	7
602	4
454	1
594	9
340	2
566	8
580	8
536	10
286	3
362	2
750	14
224	6
577	3
420	4
547	6
627	5
453	4
270	4
620	6
427	5
487	3
227	5
541	5
151	4
312	5
600	6
650	5
525	3
587	5
672	10
631	3
595	11
665	20
614	6
437	8
395	5
592	8
721	5
157	0
411	13
533	4
212	0
317	1
360	3
458	6
552	10
553	7
592	4
245	1
750	7
593	7
568	4
601	9
550	17
236	9
589	11
548	12
581	12
626	10
363	1
480	3
579	3
537	5
620	6
567	2
304	0
566	4
326	6
531	3
130	2
657	6
608	7
421	6
300	5
632	0
721	12
599	4
516	5
422	4
612	10
639	4
725	9
638	10
197	4
687	5
284	2
590	6
674	4
644	5
597	5
207	1
629	5
631	3
466	9
419	6
638	8
349	10
476	1
315	2
360	7
360	1
535	10
500	6
590	3
579	3
617	5
651	6
657	1
287	5
564	11
637	3
658	4
257	1
321	4
611	9
750	10
516	6
447	4
384	3
419	4
111	0
633	6
689	8
576	3
523	0
204	0
285	4
628	9
618	3
512	5
519	6
159	2
629	9
425	7
640	6
556	7
322	1
171	4
578	4
228	2
246	2
553	10
492	4
750	12
678	2
659	7
730	15
595	8
596	6
330	2
264	4
651	3
567	11
551	5
594	9
457	4
529	10
244	1
480	5
399	2
685	11
668	7
415	9
553	8
437	3
607	19
544	9
533	5
554	4
657	8
554	8
661	14
545	4
519	9
224	3
579	10
652	10
629	5
569	9
632	6
250	3
701	7
524	4
605	9
173	4
626	8
589	7
617	2
750	10
447	7
641	6
300	5
750	10
512	4
609	13
672	9
641	11
102	4
195	3
628	14
193	1
655	8
527	9
479	3
343	4
561	11
680	6
637	10
187	0
623	9
563	8
609	11
590	9
544	2
502	6
280	4
505	3
171	2
592	9
429	6
614	8
272	2
750	11
270	3
477	6
598	10
642	12
545	8
499	8
236	1
427	8
575	8
140	2
691	7
744	5
663	7
570	4
383	6
328	0
633	3
591	11
341	5
671	6
413	5
352	4
142	2
387	3
602	11
732	7
291	1
663	5
744	10
561	7
564	10
231	2
746	7
474	4
115	1
428	1
621	5
644	4
520	6
649	12
587	3
566	9
455	2
564	5
473	1
581	6
657	6
619	6
527	9
679	5
601	11
582	5
243	2
476	12
620	10
401	10
449	7
481	2
515	6
307	2
205	1
166	2
517	5
217	4
349	12
192	2
406	9
532	6
590	11
251	2
621	6
333	5
377	5
625	2
536	4
285	6
614	10
414	1
490	14
611	6
541	7
659	12
608	10
234	2
136	2
442	8
602	12
525	5
586	18
475	8
573	5
653	6
257	5
237	0
470	6
551	5
663	3
286	2
692	12
272	5
617	10
601	13
457	4
542	13
314	2
402	9
612	5
517	11
504	11
310	6
543	12
420	9
140	0
435	10
553	7
416	8
567	12
400	5
564	16
649	6
115	1
589	6
637	10
621	6
194	2
664	11
673	23
623	11
588	3
613	4
158	5
550	9
519	20
578	6
668	2
539	9
425	3
164	3
626	6
612	11
446	10
595	11
226	9
500	12
319	12
178	2
215	2
193	1
616	9
607	10
407	3
262	1
584	8
598	12
184	1
632	5
369	3
588	7
385	9
555	4
172	2
466	9
205	5
200	1
615	15
604	8
646	13
726	4
405	4
515	4
409	3
604	12
594	2
286	2
639	13
249	1
647	3
385	1
628	12
624	3
575	4
453	3
156	4
605	4
283	1
262	3
629	7
580	10
281	5
394	7
496	1
485	4
595	1
666	5
438	2
508	7
666	6
750	6
585	8
107	3
442	2
243	2
483	7
157	3
205	2
496	6
651	8
559	3
627	10
300	5
621	14
658	8
612	7
535	8
279	5
246	4
750	10
577	3
388	1
590	3
541	10
621	4
593	9
117	3
542	5
375	13
567	5
666	8
515	7
275	3
750	16
341	4
648	4
280	3
680	10
327	6
283	2
543	9
626	7
666	8
613	7
207	2
566	7
650	5
706	3
612	1
652	4
408	6
562	7
493	9
594	7
487	8
544	9
505	4
309	3
318	4
573	3
620	7
749	14
575	11
631	14
434	2
602	17
655	9
610	5
258	5
746	14
578	10
586	3
441	2
205	0
417	5
584	6
370	4
605	6
549	3
597	4
606	14
573	3
408	10
540	7
567	8
306	3
707	11
687	15
396	3
655	4
581	13
623	10
639	6
613	5
162	4
648	12
667	10
167	3
556	6
372	10
272	3
420	5
164	2
486	3
492	13
283	0
588	3
567	6
597	5
229	3
209	0
514	2
113	5
613	8
364	7
467	3
204	3
548	6
162	0
262	3
664	8
125	3
637	5
599	6
577	4
632	7
610	6
650	7
558	6
242	2
647	11
607	7
595	8
153	3
562	7
555	5
619	13
296	0
611	4
186	0
446	5
687	5
589	3
473	5
366	5
263	4
534	9
633	6
408	3
294	5
534	3
529	6
386	0
542	6
575	6
652	5
488	9
750	6
602	2
623	3
689	10
541	4
359	4
608	3
640	6
750	3
635	3
660	4
152	2
365	3
536	4
580	12
600	8
572	4
261	1
228	0
230	3
238	1
282	1
380	4
672	12
619	13
487	6
189	2
671	6
135	1
574	6
544	5
648	7
749	11
624	9
313	1
226	3
151	1
160	4
218	4
248	1
281	1
382	3
504	5
242	2
345	0
627	5
567	6
431	5
375	5
597	4
672	8
604	7
280	2
553	12
639	10
658	9
230	4
368	5
544	6
659	14
182	1
400	1
581	4
337	8
531	16
621	5
593	9
608	5
750	3
496	2
342	11
214	5
632	8
258	3
539	10
417	11
650	11
633	6
394	5
237	1
690	6
670	7
511	6
695	13
572	2
675	12
526	7
122	4
595	2
372	5
518	10
533	15
460	10
165	1
147	2
595	9
579	12
588	6
555	9
206	1
362	7
271	3
679	14
642	11
512	6
618	6
363	3
692	3
674	8
368	2
621	2
501	2
610	4
659	14
645	7
565	5
601	5
579	12
273	7
492	5
239	5
518	20
603	4
629	3
671	4
636	6
610	11
241	4
633	14
548	4
540	11
629	10
372	3
190	3
353	4
298	0
373	7
617	5
611	11
580	8
646	13
620	4
579	2
576	10
429	5
652	15
567	32
465	6
475	4
625	7
280	2
625	11
510	10
696	10
370	3
671	5
599	3
608	2
400	4
684	7
669	15
552	7
342	2
388	3
356	5
278	5
624	5
621	8
605	5
428	9
627	8
629	12
610	5
351	3
497	6
699	4
631	6
263	6
343	0
566	6
383	9
470	12
579	5
602	6
425	5
610	11
313	6
573	7
236	5
651	17
373	2
544	8
598	9
494	6
554	4
427	7
629	4
573	6
621	5
657	3
499	8
579	9
215	2
123	1
251	2
571	8
323	4
615	7
503	6
504	5
631	7
705	17
709	6
666	5
665	5
347	6
462	4
618	6
501	4
613	8
415	6
534	5
539	8
238	8
214	5
486	4
649	6
451	2
297	4
506	8
237	5
584	5
169	1
104	2
352	1
639	8
578	11
559	1
477	9
406	6
177	4
572	8
608	5
489	7
636	7
408	4
647	18
634	4
572	10
487	9
664	4
669	6
698	7
655	11
634	5
219	2
609	13
627	5
649	7
654	9
612	3
467	4
647	16
616	7
437	3
595	6
420	8
487	5
630	6
667	4
322	6
317	1
606	2
589	12
269	5
617	8
455	25
650	4
600	5
367	2
610	21
626	13
454	4
413	7
545	15
251	1
590	6
433	5
344	4
620	14
257	7
597	11
640	12
244	3
700	3
666	5
512	10
494	7
608	20
621	11
351	4
437	4
543	7
491	10
526	6
626	5
189	2
311	2
557	1
382	6
566	13
141	2
105	0
681	7
377	4
625	6
357	7
330	4
325	5
378	6
417	7
250	4
247	7
246	4
245	4
649	10
669	6
265	6
604	4
417	11
407	2
654	11
611	9
674	5
205	4
652	4
291	6
423	6
704	13
382	3
112	2
600	12
474	5
584	6
363	3
106	2
150	1
582	8
587	6
623	4
424	9
264	1
472	8
121	1
619	6
523	12
567	8
621	9
625	7
241	2
562	11
470	5
576	3
488	5
653	8
508	3
629	10
499	11
341	5
726	10
585	7
586	4
655	7
588	4
611	11
591	9
507	5
647	21
620	4
315	3
609	9
545	11
567	7
570	10
398	7
578	8
633	7
448	5
592	7
305	2
639	11
410	0
542	7
632	9
215	2
583	7
750	20
196	2
152	1
627	7
615	4
648	17
250	1
627	6
710	5
691	16
565	4
350	3
554	10
425	2
352	0
567	6
428	6
407	4
572	7
459	7
515	2
299	3
351	9
625	10
639	5
384	6
660	2
186	8
560	8
636	5
459	4
645	6
678	10
370	3
216	3
610	6
470	5
243	7
465	3
656	6
614	11
396	1
551	5
620	11
475	8
133	0
586	9
664	7
724	13
364	5
197	2
339	8
520	8
580	8
607	11
643	3
208	4
558	6
518	3
636	7
587	10
607	6
430	3
628	5
581	6
425	4
229	0
747	8
258	4
332	6
142	3
610	8
633	7
675	5
643	10
546	4
